url_length,number_of_special_characters,_has_ssl,number_of_name_servers,number_of_href_links,has_pop_up,has_input,has_password,number_of_subdomains,has_favicon,NonStdPort,LinksInScriptTags,has_title,has_submit,has_button,has_link,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_TR,number_of_TH,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_a,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,number_link,has_abnormalURL,has_dns_recording,GoogleIndex,double_slash_redirecting,domain_registration_length,statistical_report,https_token,submitting_to_email,count_redirects,has_executable_files,count_javascript_files,Label
22,0,0,2,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,2,0
20,0,1,6,2,0,0,0,1,1,1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0,0,1,1405,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,-1,1,1,1,1,1,1,1,0,0,0
19,0,1,0,60,0,0,0,0,-1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,49,0,0,4,13,29,1,0,1,2220,60,56,0,0,0,0,1,0,13,0,0,0,0,33,0,6,0,-1,1,1,0,1,1,1,0,0,2,0
11,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,1,0
44,0,1,0,85,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,7,97,0,0,71,0,0,19,29,36,1,1,1,7625,85,446,0,0,1,0,0,1,6,0,0,0,0,391,0,25,-1,0,1,1,0,1,1,1,0,0,7,0
11,3,0,0,1,0,0,0,0,-1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,7,1,0,0,106,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
11,3,0,0,1,0,0,0,0,-1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,7,1,0,0,106,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
11,3,0,0,1,0,0,0,0,-1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,7,1,0,0,106,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
13,4,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
24,0,0,0,2,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,240,2,11,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,1,1,1,1,1,1,0,0,0,0
20,0,0,3,21,0,1,1,0,-1,1,0,1,0,0,1,0,1,0,0,117,0,0,0,3,1,0,0,10,24,0,1,0,876,21,49,0,0,1,0,1,0,1,0,0,0,0,21,1,13,0,1,1,1,1,1,1,1,1,0,6,0
12,0,0,0,429,0,1,0,-1,-1,1,1,1,1,1,1,0,0,0,0,2,23,2,0,264,0,0,42,36,64,1,1,1,14929,429,415,21,1,1,0,0,1,25,1,0,1,94,65,0,104,0,-1,1,1,0,1,1,1,1,0,3,0
12,0,0,3,429,0,1,0,-1,-1,1,1,1,1,1,1,0,0,0,0,2,23,2,0,264,0,0,42,36,64,1,1,1,14929,429,415,21,1,1,0,0,1,25,1,0,1,94,65,0,104,0,-1,1,1,0,1,1,1,1,0,3,0
12,0,1,2,1,0,1,0,0,-1,1,1,1,0,1,1,0,1,0,0,1,2,0,0,0,0,0,5,3,36,1,1,0,1070,1,9,0,0,1,0,0,0,5,0,0,0,0,7,0,0,0,1,1,1,0,1,1,1,0,0,0,0
12,0,1,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,206,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0
46,10,1,0,1,0,1,0,-1,-1,1,1,1,0,1,1,0,1,0,0,1,2,0,0,0,0,0,5,3,36,1,1,0,1070,1,9,0,0,1,0,0,0,5,0,0,0,0,7,0,0,0,-1,1,1,-1,1,1,1,0,0,0,0
32,5,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
32,5,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
24,1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,1,1,-1,1,1,1,0,0,0,0
12,6,1,2,23,1,1,1,0,1,1,-1,1,0,0,1,0,0,0,0,2,0,0,0,22,0,0,17,1,6,1,1,0,1612,23,21,0,0,1,0,0,1,4,0,0,0,0,8,0,40,0,-1,1,1,0,1,1,1,0,0,0,0
12,6,1,2,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,0,0
14,0,1,2,0,0,0,0,-1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
13,2,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,21,0,0,0,21,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,0,0,10,0
17,0,0,2,0,0,0,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,2,0
36,0,1,0,2,0,0,0,0,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,259,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,1,1,1,0,0,0
21,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0
17,0,1,2,2,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,1,0,0,298,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,0,0,0,0
16,0,1,2,0,1,1,0,0,-1,1,0,1,0,0,0,0,0,0,0,10,0,0,62,0,0,0,9,1,33,0,1,0,2460,0,16,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,0,0
18,0,0,0,1,0,0,0,-1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,226,1,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,-1,1,1,1,1,1,1,1,0,0,0
22,0,1,0,1,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,1,0,0,153,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,0,0
36,4,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
23,0,0,2,4,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,52,1,1,0,2155,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,-1,1,1,0,1,1,1,0,0,0,0
8,0,0,4,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,0,0,0,0
20,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,0,0,0,0
19,0,1,2,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0
24,0,1,0,357,1,1,1,0,1,1,-1,1,1,1,1,1,1,0,0,45,4,0,4,345,0,0,15,103,32,1,1,1,9166,357,183,0,1,1,1,1,1,79,0,0,0,0,45,0,17,0,-1,1,1,1,1,1,1,1,0,10,0
18,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0
24,0,1,0,1,0,0,0,-1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,226,1,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,-1,1,1,-1,1,1,1,1,0,0,0
18,1,1,2,198,0,1,0,-1,1,1,-1,1,0,1,1,0,0,0,0,1,2,0,0,16,19,0,43,3,69,0,1,1,5906,198,44,0,1,1,0,0,1,3,1,0,0,0,22,2,14,0,-1,1,1,0,1,1,1,1,0,0,0
20,2,0,0,17,0,1,1,-1,-1,1,1,1,0,0,1,0,1,0,0,10,0,0,0,5,6,0,0,8,17,1,0,0,452,17,23,0,0,1,0,0,1,1,0,0,0,0,2,2,2,0,-1,1,1,0,1,1,1,0,0,3,0
23,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
23,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
23,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,1,1,0,1,1,1,1,0,1,0
20,0,1,0,61,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,24,0,0,65,0,0,5,17,61,1,1,0,1929,61,62,0,1,1,0,1,0,24,1,0,0,0,48,0,1,0,-1,1,1,1,1,1,1,1,0,15,0
